Crop,ID,Unique_ID,State,Treatment,Stem_Length_cm,Leaf_Vein_mm,Leaf_Count,Leaf_Width_mm,Root_Length_mm,Node_Count,Fresh_Mass_g,Fruited,Flowered,Root.Nodules.Present,Stem_Diameter_mm,Root_count,Dry_Mass_g,Dry_Root_Mass_g,Notes
Bean,1,Bean 1,Dead,Triple15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bean,2,Bean 2,Harvested,Triple15,9.3,46,4,22.5,107,2,6.3,Yes,Yes,Yes,NA,NA,NA,NA,
Bean,3,Bean 3,Dead,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bean,4,Bean 4,Harvested,Triple15,7.5,56,23,30.5,131,7,10.1,No,No,Yes,NA,NA,NA,NA,
Bean,5,Bean 5,Harvested,Triple15,8.9,54,21,33.5,142,8,11.1,No,No,Yes,NA,NA,NA,NA,
Bean,6,Bean 6,Harvested,Dilution,14.7,62,35,32.5,104,9,12.6,No,No,Yes,NA,NA,NA,NA,
Bean,7,Bean 7,Harvested,Dilution,5.9,57,27,29.5,149,10,9.9,No,No,Yes,NA,NA,NA,NA,
Bean,8,Bean 8,Harvested,Dilution,12.7,70.5,30,30.5,124,8,15.3,No,No,Yes,NA,NA,NA,NA,
Bean,9,Bean 9,Dead,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bean,10,Bean 10,Harvested,Extract,16.4,65.5,20,36.5,120,5,11,No,No,Yes,NA,NA,NA,NA,
Bean,11,Bean 11,Harvested,Extract,8.3,55.5,15,36,132,5,8.4,No,No,Yes,NA,NA,NA,NA,
Bean,12,Bean 12,Harvested,Extract,8.8,57,27,30.5,102,6,11.3,No,No,Yes,NA,NA,NA,NA,
Bean,13,Bean 13,Dead,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bean,14,Bean 14,Dead,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bean,15,Bean 15,Harvested,Water,8,59.5,19,32.5,113,5,8.4,No,No,Yes,NA,NA,NA,NA,
